2025-11-13T00:45:52.683Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:45:57.690Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:02.683Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:07.688Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:12.683Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:17.686Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:22.690Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:27.689Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:32.689Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:37.695Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:42.692Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:42.701Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:47.680Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:47.918Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:51.592Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:46:56.585Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:47:01.578Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:47:06.586Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:47:17.290Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:47:22.275Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:23.715Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:28.719Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:33.726Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:38.724Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:40.473Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:45.480Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:48.912Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:53.915Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:48:58.913Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:03.726Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:08.732Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:13.724Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:19.680Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:24.677Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:29.684Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:34.685Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:39.677Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:44.677Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:49.691Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:54.687Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-13T00:49:59.688Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
